id_commande,date,id_client,categorie,produit,quantite,prix_unitaire,remise,montant,canal,region,paiement
CMD105481,2024-01-01,CLI01886,Beauté,Crème hydratante,1,22.9,0.0,22.9,Marketplace,Bretagne,Carte bancaire
CMD103531,2024-01-01,CLI01457,Mode,Sneakers,4,89.0,0.2,284.8,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD103690,2024-01-01,CLI01644,Beauté,Crème hydratante,1,22.9,0.1,20.61,Site web,Provence-Alpes-Côte d'Azur,Virement
CMD100796,2024-01-01,CLI01077,Électronique,Casque audio Bluetooth,3,79.9,0.0,239.7,Site web,Grand Est,PayPal
CMD101910,2024-01-01,CLI01852,Beauté,Parfum 50ml,2,59.0,0.0,118.0,Application mobile,Île-de-France,Virement
CMD100421,2024-01-01,CLI01526,Livres,Livre de cuisine,1,24.9,0.0,24.9,Marketplace,Hauts-de-France,PayPal
CMD105265,2024-01-01,CLI02185,Mode,T-shirt coton bio,2,19.9,0.0,39.8,Application mobile,Hauts-de-France,PayPal
CMD102037,2024-01-01,CLI01745,Mode,Jean slim,1,49.9,0.0,49.9,Site web,Île-de-France,Carte bancaire
CMD104641,2024-01-01,CLI01109,Mode,Écharpe laine,1,29.9,0.0,29.9,Site web,Hauts-de-France,Carte bancaire
CMD105953,2024-01-01,CLI01945,Électronique,Montre connectée,1,149.0,0.0,149.0,Application mobile,Hauts-de-France,Carte bancaire
CMD101951,2024-01-01,CLI01604,Électronique,Enceinte portable,2,59.9,0.0,119.8,Marketplace,Auvergne-Rhône-Alpes,Carte bancaire
CMD105030,2024-01-01,CLI01448,Beauté,Palette maquillage,2,34.9,0.0,69.8,Site web,Île-de-France,Carte bancaire
CMD103133,2024-01-01,CLI00944,Électronique,Écouteurs sans fil,1,119.0,0.2,95.2,Application mobile,Grand Est,PayPal
CMD102017,2024-01-01,CLI01041,Électronique,Écouteurs sans fil,1,119.0,0.0,119.0,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD105083,2024-01-01,CLI00644,Électronique,Montre connectée,3,149.0,0.0,447.0,Marketplace,Auvergne-Rhône-Alpes,Carte bancaire
CMD100163,2024-01-01,CLI01595,Mode,Écharpe laine,2,29.9,0.1,53.82,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD102869,2024-01-01,CLI00948,Mode,Sneakers,1,89.0,0.2,71.2,Application mobile,Occitanie,Carte bancaire
CMD103281,2024-01-01,CLI01867,Beauté,Sérum visage,1,29.9,0.0,29.9,Application mobile,Auvergne-Rhône-Alpes,PayPal
CMD103157,2024-01-01,CLI00010,Mode,Jean slim,1,49.9,0.0,49.9,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD104275,2024-01-02,CLI00256,Livres,Roman best-seller,1,18.9,0.0,18.9,Site web,Auvergne-Rhône-Alpes,PayPal
CMD105341,2024-01-02,CLI00487,Maison,Set de couverts,1,44.9,0.1,40.41,Marketplace,Île-de-France,Carte bancaire
CMD101567,2024-01-02,CLI01706,Mode,T-shirt coton bio,1,19.9,0.0,19.9,Site web,Auvergne-Rhône-Alpes,PayPal
CMD101485,2024-01-02,CLI00004,Maison,Cadre photo,3,14.9,0.0,44.7,Site web,Hauts-de-France,Carte bancaire
CMD100902,2024-01-02,CLI00803,Mode,Veste légère,2,69.9,0.0,139.8,Site web,Grand Est,PayPal
CMD103698,2024-01-02,CLI01528,Maison,Set de couverts,2,44.9,0.0,89.8,Marketplace,Île-de-France,Virement
CMD105885,2024-01-02,CLI00052,Mode,Jean slim,1,49.9,0.2,39.92,Marketplace,Île-de-France,Virement
