id_utilisateur,ressource,niveau,date_attribution
U1000,Compta-Validation,Écriture,2025-10-21
U1000,ERP-Finance,Lecture,2025-06-17
U1001,ERP-Finance,Écriture,2024-11-18
U1001,Messagerie,Écriture,2024-07-05
U1001,CRM,Écriture,2025-10-23
U1001,VPN,Lecture,2024-08-30
U1002,Sauvegarde,Lecture,2023-11-11
U1002,Compta-Validation,Lecture,2024-07-18
U1002,ERP-Finance,Lecture,2023-12-19
U1002,VPN,Lecture,2024-06-05
U1002,CRM,Écriture,2024-07-07
U1003,Compta-Paiement,Lecture,2025-06-29
U1003,VPN,Écriture,2024-01-30
U1003,Compta-Validation,Écriture,2025-07-25
U1004,CRM,Lecture,2023-10-02
U1004,Messagerie,Écriture,2024-04-07
U1004,VPN,Admin,2024-04-17
U1004,Sauvegarde,Écriture,2025-04-06
U1005,CRM,Lecture,2024-06-11
U1005,Compta-Paiement,Écriture,2024-02-16
U1005,Sauvegarde,Lecture,2024-07-10
U1006,VPN,Admin,2023-11-30
U1006,ERP-Finance,Lecture,2025-10-13
U1006,Paie-RH,Écriture,2025-09-11
U1006,Compta-Paiement,Lecture,2025-10-18
U1006,AD-Admin,Admin,2025-09-22
U1007,Messagerie,Écriture,2025-02-01
U1007,Sauvegarde,Lecture,2024-04-04
U1008,Paie-RH,Écriture,2024-03-01
U1008,Sauvegarde,Écriture,2023-09-26
U1008,Messagerie,Lecture,2024-02-21
U1008,CRM,Lecture,2025-04-21
U1009,VPN,Admin,2024-10-22
U1009,Paie-RH,Lecture,2023-10-22
U1009,Sauvegarde,Écriture,2024-05-01
U1009,ERP-Finance,Écriture,2024-11-09
U1010,Compta-Validation,Lecture,2024-12-31
U1010,Sauvegarde,Lecture,2025-04-21
U1011,Sauvegarde,Lecture,2024-06-07
U1011,Compta-Validation,Écriture,2024-06-04
U1011,Messagerie,Lecture,2023-08-24
U1011,ERP-Finance,Lecture,2024-09-12
U1012,ERP-Finance,Écriture,2024-01-04
U1013,CRM,Écriture,2025-04-27
U1013,Paie-RH,Lecture,2025-04-12
U1013,VPN,Admin,2024-07-03
U1013,Messagerie,Écriture,2024-08-03
U1013,Compta-Validation,Lecture,2023-08-18
U1014,CRM,Écriture,2024-03-24
U1015,Messagerie,Lecture,2023-10-31
U1015,ERP-Finance,Admin,2025-03-19
U1015,AD-Admin,Admin,2024-07-28
U1016,Sauvegarde,Lecture,2025-04-11
U1017,ERP-Finance,Lecture,2025-05-31
U1017,Sauvegarde,Lecture,2025-07-02
U1018,VPN,Écriture,2024-08-21
U1018,Paie-RH,Lecture,2023-08-18
U1018,AD-Admin,Admin,2023-08-30
U1019,Paie-RH,Écriture,2023-08-18
U1019,VPN,Lecture,2025-02-01
U1019,Compta-Validation,Écriture,2023-10-04
U1020,CRM,Écriture,2023-12-28
U1020,Messagerie,Écriture,2025-07-12
U1021,Compta-Validation,Écriture,2024-06-14
U1022,ERP-Finance,Lecture,2023-09-30
U1023,Compta-Validation,Lecture,2025-03-05
U1023,Compta-Paiement,Lecture,2025-10-31
U1023,Messagerie,Lecture,2024-01-08
U1024,Compta-Validation,Écriture,2023-09-20
U1025,Compta-Validation,Écriture,2024-04-11
U1026,Compta-Paiement,Lecture,2025-07-03
U1026,VPN,Lecture,2025-06-07
U1026,ERP-Finance,Écriture,2024-01-03
U1027,VPN,Écriture,2024-12-29
U1027,Paie-RH,Lecture,2024-02-17
U1027,Compta-Paiement,Écriture,2023-11-27
U1027,ERP-Finance,Écriture,2025-09-15
U1027,Sauvegarde,Écriture,2023-11-24
U1028,Sauvegarde,Écriture,2025-11-22
U1028,AD-Admin,Admin,2024-05-08
U1029,CRM,Admin,2023-10-28
U1029,Compta-Validation,Écriture,2024-02-17
U1029,Paie-RH,Lecture,2023-10-09
U1029,ERP-Finance,Écriture,2025-10-15
U1029,Sauvegarde,Lecture,2024-05-03
U1030,Sauvegarde,Écriture,2025-08-12
U1030,ERP-Finance,Écriture,2024-07-28
U1030,Compta-Validation,Lecture,2024-02-04
U1030,Messagerie,Lecture,2024-10-14
U1030,Paie-RH,Lecture,2025-10-07
U1031,Paie-RH,Écriture,2024-10-30
U1031,Sauvegarde,Admin,2024-12-05
U1031,AD-Admin,Admin,2024-08-09
U1032,Paie-RH,Lecture,2023-10-03
U1032,VPN,Lecture,2024-12-20
U1032,Compta-Paiement,Lecture,2024-08-13
U1033,ERP-Finance,Lecture,2023-10-02
U1033,VPN,Écriture,2023-11-27
U1034,Compta-Paiement,Lecture,2024-03-31
U1034,VPN,Lecture,2025-06-19
U1034,CRM,Lecture,2024-12-17
U1035,ERP-Finance,Lecture,2024-01-12
U1035,VPN,Lecture,2023-08-30
U1035,Sauvegarde,Lecture,2025-05-08
U1036,Paie-RH,Lecture,2024-12-24
U1036,Compta-Paiement,Lecture,2023-09-16
U1036,Compta-Validation,Lecture,2025-05-18
U1036,Messagerie,Lecture,2024-01-02
U1036,CRM,Écriture,2024-07-27
U1037,VPN,Écriture,2025-07-20
U1037,Messagerie,Lecture,2024-05-04
U1037,Sauvegarde,Admin,2025-06-09
U1037,CRM,Lecture,2024-07-11
U1037,Compta-Paiement,Écriture,2023-10-22
U1038,ERP-Finance,Admin,2024-04-15
U1038,Compta-Paiement,Écriture,2024-11-04
U1038,VPN,Lecture,2025-11-18
U1038,CRM,Lecture,2024-03-27
U1039,VPN,Lecture,2023-07-23
U1039,Compta-Paiement,Admin,2025-08-13
U1039,Paie-RH,Écriture,2025-04-29
U1039,Compta-Validation,Écriture,2023-12-21
U1040,ERP-Finance,Écriture,2025-07-11
U1040,CRM,Écriture,2023-08-01
U1040,VPN,Lecture,2025-02-14
U1040,Messagerie,Lecture,2025-01-21
U1040,Compta-Validation,Lecture,2025-07-20
U1041,CRM,Lecture,2024-04-10
U1042,Messagerie,Lecture,2024-08-28
U1043,Paie-RH,Lecture,2023-09-04
U1043,Compta-Paiement,Lecture,2024-01-14
U1043,CRM,Lecture,2023-10-13
U1043,Messagerie,Lecture,2024-10-28
U1044,Compta-Validation,Écriture,2023-08-22
U1044,Paie-RH,Lecture,2023-11-14
U1044,Messagerie,Lecture,2024-07-31
U1045,ERP-Finance,Lecture,2023-12-04
U1045,AD-Admin,Admin,2024-02-18
U1046,Sauvegarde,Écriture,2024-01-09
U1046,VPN,Admin,2024-03-02
U1046,Compta-Paiement,Lecture,2024-07-19
U1047,Sauvegarde,Lecture,2025-02-14
U1048,Compta-Paiement,Écriture,2024-03-23
U1049,CRM,Écriture,2024-12-15
U1049,Compta-Validation,Lecture,2024-01-26
U1049,Compta-Paiement,Écriture,2024-05-07
U1050,Compta-Validation,Lecture,2024-08-03
U1050,Messagerie,Lecture,2025-07-10
U1050,Compta-Paiement,Lecture,2024-06-09
U1051,Paie-RH,Lecture,2025-07-11
U1052,CRM,Écriture,2023-11-10
U1052,Compta-Validation,Lecture,2023-11-09
U1052,Messagerie,Lecture,2024-10-20
U1052,Compta-Paiement,Lecture,2024-09-07
U1052,Paie-RH,Lecture,2025-02-07
U1053,Compta-Paiement,Lecture,2023-08-03
U1053,ERP-Finance,Lecture,2025-03-09
U1053,CRM,Écriture,2024-06-12
U1053,Paie-RH,Lecture,2024-10-27
U1053,Messagerie,Lecture,2024-01-10
U1054,Compta-Validation,Lecture,2023-09-24
U1054,VPN,Écriture,2025-07-22
U1054,Paie-RH,Écriture,2025-03-09
U1054,CRM,Écriture,2025-09-27
U1055,Compta-Validation,Lecture,2023-07-24
U1055,ERP-Finance,Lecture,2023-08-03
U1056,Sauvegarde,Écriture,2024-12-03
U1057,CRM,Lecture,2023-08-10
U1058,VPN,Écriture,2025-11-24
U1058,ERP-Finance,Écriture,2024-06-28
U1058,Messagerie,Lecture,2025-08-27
U1059,Messagerie,Lecture,2024-08-29
U1059,Compta-Paiement,Lecture,2025-07-22
U1059,CRM,Lecture,2025-11-07
U1060,Compta-Paiement,Écriture,2023-10-26
U1061,Sauvegarde,Lecture,2025-03-16
U1061,Compta-Validation,Lecture,2025-05-28
U1061,AD-Admin,Admin,2025-10-29
U1062,ERP-Finance,Écriture,2025-08-04
U1062,Compta-Paiement,Admin,2024-01-16
U1063,Compta-Validation,Écriture,2025-04-19
U1064,Messagerie,Écriture,2023-10-27
U1064,ERP-Finance,Lecture,2025-05-27
U1064,VPN,Écriture,2023-12-23
U1064,Compta-Validation,Lecture,2024-03-16
U1064,Compta-Paiement,Lecture,2024-06-23
U1065,Sauvegarde,Lecture,2023-09-26
U1065,Compta-Validation,Lecture,2025-08-05
U1065,Messagerie,Lecture,2023-10-30
U1065,VPN,Lecture,2024-04-24
U1065,CRM,Écriture,2025-04-02
U1066,Sauvegarde,Lecture,2024-10-06
U1066,Compta-Validation,Lecture,2023-07-28
U1067,Compta-Paiement,Lecture,2024-06-07
U1067,CRM,Lecture,2025-01-08
U1067,Paie-RH,Écriture,2025-03-05
U1068,Messagerie,Écriture,2024-05-14
U1068,Compta-Paiement,Lecture,2025-09-18
U1068,VPN,Lecture,2025-02-11
U1068,Paie-RH,Lecture,2025-05-11
U1068,ERP-Finance,Lecture,2024-07-28
U1069,Compta-Paiement,Lecture,2024-06-12
U1069,ERP-Finance,Écriture,2024-04-02
U1069,Sauvegarde,Admin,2023-07-31
U1069,CRM,Lecture,2023-11-07
U1070,CRM,Lecture,2025-01-19
U1070,Compta-Validation,Lecture,2024-07-26
U1070,Compta-Paiement,Lecture,2025-11-03
U1070,Paie-RH,Écriture,2024-04-29
U1070,Sauvegarde,Écriture,2024-11-14
U1071,Messagerie,Lecture,2024-03-05
U1071,Sauvegarde,Écriture,2025-01-10
U1071,CRM,Lecture,2023-12-11
U1071,Compta-Validation,Lecture,2025-07-16
U1071,AD-Admin,Admin,2024-01-28
U1072,Compta-Paiement,Lecture,2024-08-26
U1072,ERP-Finance,Lecture,2024-06-26
U1073,VPN,Écriture,2024-02-28
U1073,Messagerie,Lecture,2024-09-28
U1073,ERP-Finance,Lecture,2024-12-22
U1073,Sauvegarde,Écriture,2023-08-10
U1074,CRM,Écriture,2025-02-24
U1074,Compta-Paiement,Lecture,2025-10-09
U1074,Compta-Validation,Lecture,2024-11-18
U1075,Messagerie,Écriture,2025-09-28
U1076,Messagerie,Lecture,2025-07-01
U1076,Paie-RH,Lecture,2024-08-17
U1076,VPN,Lecture,2024-01-19
U1076,CRM,Lecture,2024-02-12
U1077,CRM,Lecture,2024-01-31
U1077,Sauvegarde,Écriture,2025-07-08
U1077,VPN,Lecture,2025-02-15
U1077,Compta-Paiement,Écriture,2025-06-30
U1078,Compta-Validation,Lecture,2025-09-25
U1078,Compta-Paiement,Lecture,2023-08-19
U1078,ERP-Finance,Lecture,2025-07-28
U1078,CRM,Lecture,2024-03-26
U1078,Sauvegarde,Écriture,2024-05-05
U1079,Compta-Validation,Écriture,2024-01-19
U1080,ERP-Finance,Écriture,2024-03-24
U1080,Paie-RH,Lecture,2023-08-20
U1080,Messagerie,Écriture,2025-08-15
U1080,Compta-Validation,Lecture,2024-05-20
U1080,VPN,Écriture,2024-01-29
U1081,Messagerie,Lecture,2024-09-30
U1081,ERP-Finance,Lecture,2024-12-07
U1081,VPN,Lecture,2023-09-15
U1081,Compta-Validation,Écriture,2025-05-30
U1081,Paie-RH,Écriture,2024-12-19
U1082,Paie-RH,Écriture,2024-08-09
U1082,VPN,Lecture,2023-08-04
U1082,ERP-Finance,Lecture,2024-11-12
U1083,Compta-Validation,Écriture,2025-03-06
U1083,ERP-Finance,Lecture,2024-02-26
U1083,CRM,Écriture,2024-10-20
U1084,CRM,Lecture,2024-06-27
U1084,Compta-Paiement,Lecture,2024-04-29
U1084,Sauvegarde,Lecture,2025-04-28
U1084,Paie-RH,Écriture,2023-08-21
U1084,Compta-Validation,Lecture,2024-01-13
U1085,ERP-Finance,Lecture,2023-11-23
U1086,VPN,Lecture,2023-10-25
U1086,Messagerie,Lecture,2025-06-28
U1087,Compta-Validation,Écriture,2023-10-20
U1087,ERP-Finance,Lecture,2024-08-28
U1087,Sauvegarde,Lecture,2024-01-15
U1087,CRM,Écriture,2023-10-26
U1087,Paie-RH,Lecture,2025-10-26
U1088,VPN,Lecture,2023-09-16
U1088,Compta-Validation,Écriture,2025-02-12
U1088,Paie-RH,Lecture,2024-02-04
U1088,Messagerie,Lecture,2024-11-16
U1088,CRM,Lecture,2024-11-16
